ticker,trade_date,rvol30_yz,rvol30_cc,ivar30,dte0,atm_iv0,atm_iv30,atm_iv45,atm_iv60,avg_underlying_volume,daily_option_volume
ASST,2025-07-01,1.4939753,1.3105723,8.224191,17.0,1.814106,1.7290814,1.630976,1.6895651,145151.86,1031
UPST,2025-07-01,0.64501154,0.69538724,0.5070283,2.0,0.73344,0.6996237,0.932872,0.88543344,5957724.0,35213
WBD,2025-07-01,0.66461945,0.45533666,0.1937185,2.0,0.412165,0.423015,0.510555,0.50066704,59587500.0,61423
LYFT,2025-07-01,0.42541718,0.33068696,0.31156474,2.0,0.434602,0.5390916,0.673318,0.63467157,14140768.0,37542
KO,2025-07-01,0.1297917,0.13143668,0.04299631,2.0,0.156085,0.19045457,0.17828,0.17950486,16795028.0,47594
DAL,2025-07-01,0.43285212,0.40202743,0.26660278,2.0,0.416012,0.51029557,0.46327,0.45208257,9517612.0,36539
UUUU,2025-07-01,0.8015433,0.7038775,0.45422786,2.0,0.816844,0.6540493,0.660341,0.6569351,11746752.0,2809
COST,2025-07-01,0.17426136,0.19815618,0.04230279,2.0,0.194852,0.19429271,0.196641,0.198927,2116175.2,23241
USO,2025-07-01,0.45282525,0.5005513,0.13850546,1.0,0.28911,0.31245887,0.331752,0.32882914,15011033.0,32350
SNOW,2025-07-01,0.3122506,0.23545179,0.1195071,2.0,0.349568,0.3274246,0.314679,0.36340714,4349739.5,36957
PATH,2025-07-01,0.3402732,0.35882184,0.14047877,2.0,0.39806,0.36853844,0.350414,0.42727786,10348143.0,5021
TNA,2025-07-01,0.49947557,0.44967428,0.41620782,2.0,0.735493,0.6085783,0.631786,0.62962264,14914605.0,83967
SMR,2025-07-01,1.1096644,1.2105997,1.1629393,2.0,0.974833,0.99610573,1.051712,1.0424213,15280029.0,62902
FUBO,2025-07-01,0.5987496,0.61491024,0.84809923,2.0,0.897211,0.7848323,0.913715,0.89783597,11001639.0,41514
BIDU,2025-07-01,0.22625601,0.22169432,0.10123823,2.0,0.299088,0.3051026,0.324267,0.332991,2194320.0,16894
MP,2025-07-01,1.0141634,1.0015999,0.57412416,2.0,0.732394,0.7287684,0.738669,0.7389934,13808216.0,22000
KVUE,2025-07-01,0.25923598,0.27255237,0.1334036,2.0,0.29551,0.33988887,0.369836,0.35448286,20781946.0,31521
CRWD,2025-07-01,0.42623216,0.35204592,0.15236214,2.0,0.401324,0.37238002,0.376665,0.40319228,4266513.5,55072
TEM,2025-07-01,0.8176362,0.7974014,0.6908864,2.0,0.87164,0.8108216,0.854769,0.84354943,12446609.0,75628
VRT,2025-07-01,0.427369,0.42356354,0.45281792,2.0,0.525227,0.658655,0.620516,0.602417,6527701.5,28169
CRM,2025-07-01,0.23942786,0.24217635,0.08225121,2.0,0.259011,0.26769498,0.282551,0.30478016,8606720.0,27359
GM,2025-07-01,0.25544578,0.34025776,0.15598126,2.0,0.31118,0.38290557,0.354361,0.342892,10237333.0,39647
DELL,2025-07-01,0.32985926,0.34512302,0.137153,2.0,0.370578,0.33476698,0.357081,0.39278442,6095791.0,21928
LULU,2025-07-01,0.77769566,0.8260159,0.1462125,2.0,0.371333,0.3531543,0.347779,0.38847056,4540653.0,59146
PTON,2025-07-01,0.6677676,0.85524535,0.46364927,2.0,0.719494,0.6589734,0.775727,0.77988327,14800967.0,16227
AFRM,2025-07-01,0.4972864,0.434599,0.37198085,2.0,0.618552,0.5501803,0.558165,0.60793626,6013957.0,45903
BMY,2025-07-01,0.20774455,0.21615528,0.09440392,2.0,0.338506,0.30126315,0.328772,0.32267687,14951730.0,39851
SBUX,2025-07-01,0.26770929,0.2620151,0.14968741,2.0,0.298699,0.3479437,0.345259,0.33033228,9128042.0,52344
CVX,2025-07-01,0.22764535,0.19622849,0.064125426,2.0,0.234033,0.23873772,0.236931,0.242385,9880407.0,31302
SBET,2025-07-01,,,2.170196,17.0,1.368526,1.4079953,1.453537,1.4459763,,14576
GRAB,2025-07-01,0.39819366,0.47080144,0.1998944,2.0,0.534381,0.41769,0.468141,0.47280267,42357010.0,50787
SHOP,2025-07-01,0.41436785,0.4303085,0.23747964,2.0,0.439605,0.46161786,0.561733,0.54130983,8125696.0,26043
DIA,2025-07-01,0.11262454,0.112823434,0.024509618,2.0,0.11804,0.13473201,0.139351,0.14098385,3199590.2,85321
ONDS,2025-07-01,1.7503374,1.448997,2.644059,17.0,1.534801,1.5319285,1.528614,1.5119661,25444938.0,11673
ET,2025-07-01,0.22163638,0.21307711,0.048032507,2.0,0.239899,0.20225072,0.23956,0.23292828,14524957.0,26097
BITF,2025-07-01,0.69700414,0.7439188,3.7254293,2.0,0.222139,1.1936377,1.24737,1.2429029,11928113.0,6077
NEM,2025-07-01,0.3277823,0.39205626,0.12974039,2.0,0.30918,0.35010228,0.366436,0.35216886,12851087.0,20195
VALE,2025-07-01,0.25119272,0.32593805,0.08212531,2.0,0.360541,0.26776916,0.293054,0.29386958,42393056.0,33403
ADBE,2025-07-01,0.30608708,0.3162155,0.064626634,2.0,0.251075,0.24190386,0.245723,0.2767383,4547124.0,31140
FSLR,2025-07-01,1.0672164,0.87972534,0.43261865,2.0,0.823876,0.6414646,0.60996,0.59031,5062541.0,73497
MO,2025-07-01,0.14160252,0.14248182,0.051483538,2.0,0.174325,0.21451728,0.216773,0.22268043,9240804.0,11110
ENPH,2025-07-01,1.0984671,1.2224369,0.8372696,2.0,0.968338,0.9173339,0.835034,0.800654,9816919.0,60970
UPS,2025-07-01,0.18193704,0.215695,0.14172535,2.0,0.275543,0.34484887,0.34064,0.32638958,5124340.5,32141
AGNC,2025-07-01,0.17182493,0.15354961,0.053123057,2.0,0.166302,0.20857015,0.209608,0.20898229,26328068.0,51315
AG,2025-07-01,0.5852076,0.68500954,0.35995245,2.0,0.532527,0.5509549,0.569464,0.5671853,29460066.0,18050
QCOM,2025-07-01,0.23480693,0.23097375,0.14810565,2.0,0.276006,0.35802573,0.347681,0.33059427,8524124.0,26260
GLXY,2025-07-01,,,0.9711592,2.0,0.940044,0.99516386,0.961352,0.9532508,,14185
NVDL,2025-07-01,0.4848711,0.53771085,0.5513481,2.0,0.712324,0.7055536,0.727137,0.7661053,12910343.0,38906
PANW,2025-07-01,0.22257543,0.24150503,0.08422161,2.0,0.329439,0.27709657,0.286793,0.30985785,4322971.0,32806
OSCR,2025-07-01,1.042176,0.937497,0.6788988,2.0,0.74956,0.8125037,0.931774,0.89916784,21312374.0,115693
CVS,2025-07-01,0.20649824,0.16743197,0.14067113,2.0,0.223573,0.34172872,0.333005,0.32303387,6887626.0,13954
GS,2025-07-01,0.23871422,0.18494044,0.09751939,2.0,0.263965,0.28220928,0.273278,0.27254772,2209837.8,26797
PEP,2025-07-01,0.15897442,0.19682044,0.0721483,2.0,0.223365,0.2525367,0.249695,0.24355914,11513541.0,113489
IBM,2025-07-01,0.1872718,0.18637957,0.1347042,2.0,0.226308,0.3521056,0.326477,0.31403986,3744006.2,18095
PINS,2025-07-01,0.33715692,0.3303574,0.20954265,2.0,0.391987,0.44232786,0.540338,0.5093081,9688185.0,7340
LRCX,2025-07-01,0.31344354,0.27219984,0.16358465,2.0,0.329902,0.38037357,0.382569,0.37940314,10703807.0,15040
PBR,2025-07-01,0.32652637,0.32468426,0.08310578,2.0,0.264955,0.27524185,0.263476,0.27585316,27528904.0,26229
JNJ,2025-07-01,0.14138561,0.14263968,0.039490104,2.0,0.200516,0.19150442,0.183873,0.18343714,8201392.0,40946
NVTS,2025-07-01,1.3976824,1.1998386,0.8770844,2.0,1.11289,0.92285174,1.010164,0.981877,57969260.0,27091
B,2025-07-01,0.3113822,0.34172618,0.100704886,17.0,0.280569,0.29293153,0.307196,0.3070503,16714511.0,11332
RBLX,2025-07-01,0.28177333,0.3194529,0.33189493,2.0,0.38747,0.5470627,0.582759,0.5609923,8827105.0,60339
BITX,2025-07-01,0.6883285,0.6595071,0.6097336,2.0,0.598952,0.76486987,0.774449,0.78124696,8477884.0,19325
BRK_B,2025-07-01,0.13034631,0.12183443,0.03096097,2.0,0.140955,0.14751615,0.166387,0.169975,4796711.5,27256
UVIX,2025-07-01,1.0067935,1.0645037,1.3226587,2.0,0.867935,1.1249715,1.339475,1.3029038,13479300.0,11815
UAL,2025-07-01,0.48834363,0.49781743,0.35055396,2.0,0.478639,0.5578443,0.537231,0.52615845,7018671.5,15144
ANET,2025-07-01,0.37702236,0.5414251,0.24479139,2.0,0.44167,0.48355314,0.52582,0.5122733,10295812.0,20437
VST,2025-07-01,0.40253934,0.3860584,0.31742686,2.0,0.517208,0.54905444,0.585955,0.58020014,5390870.0,36063
BE,2025-07-01,0.68632525,0.73134696,0.5441599,2.0,0.832596,0.7344257,0.751583,0.7439489,5171363.5,11279
HUT,2025-07-01,0.7259981,0.8360121,0.7571114,2.0,0.953205,0.8633649,0.86888,0.85385513,6288503.0,13749
HD,2025-07-01,0.17417851,0.18507247,0.048345547,2.0,0.247421,0.19709685,0.205967,0.20993857,3842537.0,31095
JOBY,2025-07-01,0.94650215,0.9599951,0.5135513,2.0,0.773159,0.68519473,0.723458,0.7160356,30902166.0,42888
CCJ,2025-07-01,0.4407081,0.50643903,0.2227121,2.0,0.445294,0.43999857,0.447274,0.43999472,6191255.0,27796
DOW,2025-07-01,0.35550383,0.4117627,0.2349502,2.0,0.438189,0.45543772,0.47386,0.46402985,13067178.0,22945
XLV,2025-07-01,0.12522283,0.110888526,0.022131627,2.0,0.151944,0.138641,0.147068,0.14852342,12976682.0,94172
LUV,2025-07-01,0.3077277,0.29281145,0.16640706,2.0,0.320419,0.3821887,0.381459,0.37754786,11579062.0,9462
ABBV,2025-07-01,0.21891612,0.18972333,0.084557585,2.0,0.226119,0.261581,0.259684,0.25259843,6406633.0,16240
HAL,2025-07-01,0.3675963,0.44033995,0.19436117,2.0,0.405414,0.42456043,0.393689,0.3899763,16132003.0,22416
SLB,2025-07-01,0.29597598,0.3438119,0.12034259,2.0,0.344346,0.31420615,0.32965,0.32921502,16435868.0,22335
AMAT,2025-07-01,0.2803336,0.27998707,0.12173394,2.0,0.298673,0.320129,0.361574,0.35447857,6962982.0,11577
